request,time_stamp,duration (sec),success,generated numbers count,next_interval
1,2026-04-28T11:46:12.083420,0.54,True,10,17.0
2,2026-04-28T11:46:29.299909,0.21,True,10,10.0
3,2026-04-28T11:46:39.520810,0.22,True,10,12.0
4,2026-04-28T11:46:51.735070,0.21,True,10,15.0
5,2026-04-28T11:47:06.982338,0.24,True,10,17.0
6,2026-04-28T11:47:24.202522,0.22,True,10,3.0
7,2026-04-28T11:47:27.437169,0.23,True,10,22.0
8,2026-04-28T11:47:49.657810,0.22,True,10,17.0
9,2026-04-28T11:48:06.883441,0.22,True,10,11.0
10,2026-04-28T11:48:18.107359,0.22,True,10,1.0
11,2026-04-28T11:48:19.331897,0.22,True,10,13.0
12,2026-04-28T11:48:32.562159,0.23,True,10,2.0
13,2026-04-28T11:48:34.781126,0.21,True,10,11.0
14,2026-04-28T11:48:46.627847,0.85,True,10,20.0
15,2026-04-28T11:49:06.878367,0.25,True,10,20.0
16,2026-04-28T11:49:27.101825,0.22,True,10,19.0
17,2026-04-28T11:49:46.331830,0.23,True,10,1.0
18,2026-04-28T11:49:47.564996,0.23,True,10,12.0
19,2026-04-28T11:49:59.939920,0.37,True,10,12.0
20,2026-04-28T11:50:12.471552,0.53,True,10,17.0
21,2026-04-28T11:50:29.691309,0.22,True,10,2.0
22,2026-04-28T11:50:31.962078,0.27,True,10,13.0
23,2026-04-28T11:50:45.186084,0.22,True,10,27.0
24,2026-04-28T11:51:12.414960,0.22,True,10,26.0
25,2026-04-28T11:51:38.941854,0.52,True,10,29.0
26,2026-04-28T11:52:08.181716,0.23,True,10,17.0
27,2026-04-28T11:52:25.408161,0.23,True,10,3.0
28,2026-04-28T11:52:28.630753,0.22,True,10,7.0
29,2026-04-28T11:52:35.864974,0.23,True,10,10.0
30,2026-04-28T11:52:46.091283,0.22,True,10,17.0
31,2026-04-28T11:53:03.335471,0.24,True,10,20.0
32,2026-04-28T11:53:23.559825,0.22,True,10,12.0
33,2026-04-28T11:53:35.781271,0.22,True,10,9.0
34,2026-04-28T11:53:45.011668,0.23,True,10,25.0
35,2026-04-28T11:54:10.238748,0.22,True,10,26.0
36,2026-04-28T11:54:36.471801,0.23,True,10,15.0
37,2026-04-28T11:54:51.688469,0.21,True,10,20.0
38,2026-04-28T11:55:11.927379,0.23,True,10,17.0
39,2026-04-28T11:55:29.163977,0.23,True,10,26.0
40,2026-04-28T11:55:55.401738,0.23,True,10,8.0
41,2026-04-28T11:56:03.625174,0.22,True,10,21.0
42,2026-04-28T11:56:24.838681,0.21,True,10,4.0
43,2026-04-28T11:56:29.059491,0.22,True,10,25.0
44,2026-04-28T11:56:54.287950,0.22,True,10,11.0
45,2026-04-28T11:57:05.503520,0.21,True,10,14.0
46,2026-04-28T11:57:20.028384,0.52,True,10,22.0
47,2026-04-28T11:57:42.246999,0.21,True,10,20.0
48,2026-04-28T11:58:02.473896,0.22,True,10,2.0
49,2026-04-28T11:58:04.688809,0.21,True,10,25.0
50,2026-04-28T11:58:29.927081,0.24,True,10,10.0
51,2026-04-28T11:58:40.554356,0.63,True,10,29.0
52,2026-04-28T11:59:09.920845,0.36,True,10,21.0
53,2026-04-28T11:59:31.236385,0.31,True,10,18.0
54,2026-04-28T11:59:49.455033,0.22,True,10,4.0
