request,time_stamp,duration (sec),success,generated numbers count,next_interval
1,2026-04-29T10:00:45.955055,0.17,True,10,9.0
2,2026-04-29T10:00:55.172715,0.22,True,10,8.0
3,2026-04-29T10:01:03.619133,0.45,True,10,10.0
4,2026-04-29T10:01:13.805422,0.19,True,10,5.0
5,2026-04-29T10:01:19.024145,0.22,True,10,9.0
6,2026-04-29T10:01:28.217753,0.19,True,10,2.0
7,2026-04-29T10:01:30.998964,0.78,True,10,3.0
8,2026-04-29T10:01:34.326000,0.33,True,10,6.0
9,2026-04-29T10:01:40.485731,0.16,True,10,5.0
10,2026-04-29T10:01:45.862900,0.38,True,10,1.0
11,2026-04-29T10:01:47.124583,0.26,True,10,12.0
12,2026-04-29T10:01:59.296490,0.17,True,10,14.0
13,2026-04-29T10:02:13.474283,0.18,True,10,8.0
14,2026-04-29T10:02:21.642775,0.17,True,10,11.0
15,2026-04-29T10:02:32.810479,0.17,True,10,1.0
16,2026-04-29T10:02:33.983646,0.17,True,10,8.0
17,2026-04-29T10:02:42.196323,0.21,True,10,4.0
18,2026-04-29T10:02:46.403372,0.21,True,10,1.0
19,2026-04-29T10:02:47.596424,0.19,True,10,4.0
20,2026-04-29T10:02:51.814485,0.22,True,10,7.0
21,2026-04-29T10:02:58.983153,0.17,True,10,13.0
22,2026-04-29T10:03:12.162854,0.18,True,10,2.0
23,2026-04-29T10:03:14.342355,0.18,True,10,7.0
24,2026-04-29T10:03:21.525441,0.18,True,10,5.0
25,2026-04-29T10:03:26.700198,0.17,True,10,10.0
26,2026-04-29T10:03:36.966931,0.27,True,10,8.0
27,2026-04-29T10:03:45.155873,0.19,True,10,7.0
28,2026-04-29T10:03:52.356681,0.2,True,10,3.0
29,2026-04-29T10:03:56.198036,0.84,True,10,10.0
30,2026-04-29T10:04:06.364212,0.17,True,10,15.0
31,2026-04-29T10:04:21.542679,0.18,True,10,8.0
32,2026-04-29T10:04:29.707706,0.16,True,10,15.0
33,2026-04-29T10:04:45.446455,0.74,True,10,3.0
34,2026-04-29T10:04:48.610669,0.16,True,10,5.0
35,2026-04-29T10:04:53.770631,0.16,True,10,8.0
36,2026-04-29T10:05:02.360262,0.59,True,10,3.0
37,2026-04-29T10:05:05.535449,0.17,True,10,15.0
38,2026-04-29T10:05:20.718608,0.18,True,10,5.0
39,2026-04-29T10:05:25.912645,0.19,True,10,1.0
40,2026-04-29T10:05:27.084643,0.17,True,10,10.0
41,2026-04-29T10:05:37.330154,0.25,True,10,13.0
42,2026-04-29T10:05:50.561919,0.23,True,10,10.0
43,2026-04-29T10:06:00.730215,0.17,True,10,9.0
44,2026-04-29T10:06:09.907600,0.18,True,10,7.0
45,2026-04-29T10:06:17.175194,0.27,True,10,1.0
46,2026-04-29T10:06:18.354701,0.18,True,10,12.0
47,2026-04-29T10:06:30.562419,0.19,True,10,4.0
48,2026-04-29T10:06:34.746643,0.18,True,10,9.0
49,2026-04-29T10:06:43.937105,0.19,True,10,11.0
50,2026-04-29T10:06:55.350061,0.41,True,10,9.0
51,2026-04-29T10:07:04.515473,0.16,True,10,4.0
52,2026-04-29T10:07:08.699158,0.18,True,10,13.0
53,2026-04-29T10:07:21.872448,0.17,True,10,11.0
54,2026-04-29T10:07:33.180117,0.31,True,10,10.0
55,2026-04-29T10:07:43.351278,0.17,True,10,15.0
56,2026-04-29T10:07:58.565401,0.21,True,10,15.0
57,2026-04-29T10:08:13.742583,0.18,True,10,9.0
58,2026-04-29T10:08:22.908090,0.17,True,10,11.0
59,2026-04-29T10:08:34.078141,0.17,True,10,14.0
60,2026-04-29T10:08:48.354459,0.28,True,10,13.0
61,2026-04-29T10:09:01.570198,0.22,True,10,6.0
62,2026-04-29T10:09:07.732281,0.16,True,10,5.0
63,2026-04-29T10:09:12.936238,0.2,True,10,10.0
64,2026-04-29T10:09:23.115629,0.18,True,10,2.0
65,2026-04-29T10:09:25.285681,0.17,True,10,4.0
66,2026-04-29T10:09:29.459260,0.17,True,10,6.0
67,2026-04-29T10:09:35.648970,0.19,True,10,2.0
68,2026-04-29T10:09:39.176057,1.53,True,10,15.0
69,2026-04-29T10:09:54.366812,0.19,True,10,14.0
70,2026-04-29T10:10:08.562828,0.2,True,10,15.0
71,2026-04-29T10:10:23.732908,0.17,True,10,13.0
72,2026-04-29T10:10:37.139361,0.41,True,10,12.0
73,2026-04-29T10:10:49.484630,0.34,True,10,6.0
74,2026-04-29T10:10:55.670601,0.18,True,10,13.0
75,2026-04-29T10:11:08.880051,0.21,True,10,1.0
76,2026-04-29T10:11:10.043757,0.16,True,10,1.0
77,2026-04-29T10:11:11.594726,0.55,True,10,3.0
78,2026-04-29T10:11:14.773399,0.18,True,10,8.0
79,2026-04-29T10:11:22.961017,0.19,True,10,2.0
80,2026-04-29T10:11:25.154686,0.19,True,10,14.0
81,2026-04-29T10:11:39.535586,0.38,True,10,2.0
82,2026-04-29T10:11:41.718375,0.18,True,10,14.0
83,2026-04-29T10:11:55.886693,0.17,True,10,15.0
84,2026-04-29T10:12:11.324265,0.44,True,10,9.0
85,2026-04-29T10:12:20.524289,0.2,True,10,10.0
86,2026-04-29T10:12:30.707164,0.18,True,10,13.0
87,2026-04-29T10:12:43.893896,0.19,True,10,13.0
88,2026-04-29T10:12:57.726828,0.83,True,10,8.0
89,2026-04-29T10:13:05.891999,0.16,True,10,2.0
90,2026-04-29T10:13:08.058896,0.17,True,10,3.0
91,2026-04-29T10:13:11.330820,0.27,True,10,13.0
92,2026-04-29T10:13:24.518930,0.19,True,10,5.0
93,2026-04-29T10:13:29.714834,0.2,True,10,7.0
94,2026-04-29T10:13:37.438805,0.72,True,10,5.0
95,2026-04-29T10:13:42.618941,0.18,True,10,6.0
96,2026-04-29T10:13:48.783938,0.16,True,10,4.0
97,2026-04-29T10:13:52.966648,0.18,True,10,3.0
98,2026-04-29T10:13:56.145484,0.18,True,10,10.0
99,2026-04-29T10:14:06.315842,0.17,True,10,7.0
100,2026-04-29T10:14:13.607856,0.29,False,0,
