request,time_stamp,duration (sec),success,generated numbers count,next_interval
1,2026-05-01T16:50:30.057387,1.51,False,0,3.0
2,2026-05-01T16:50:33.300673,0.24,False,0,10.0
3,2026-05-01T16:50:43.537275,0.23,False,0,9.0
4,2026-05-01T16:50:52.856843,0.31,False,0,16.0
5,2026-05-01T16:51:09.107381,0.24,False,0,20.0
6,2026-05-01T16:51:29.344760,0.24,False,0,21.0
7,2026-05-01T16:51:50.841216,0.49,True,10,25.0
8,2026-05-01T16:52:16.154410,0.31,True,10,16.0
9,2026-05-01T16:52:32.427271,0.27,True,10,10.0
10,2026-05-01T16:52:42.700854,0.27,True,10,5.0
11,2026-05-01T16:52:47.972008,0.27,True,10,19.0
12,2026-05-01T16:53:07.254687,0.28,True,10,21.0
13,2026-05-01T16:53:28.599790,0.32,True,10,2.0
14,2026-05-01T16:53:30.967548,0.36,True,10,24.0
15,2026-05-01T16:53:55.279197,0.29,True,10,24.0
16,2026-05-01T16:54:19.656969,0.37,True,10,15.0
17,2026-05-01T16:54:35.198076,0.54,True,10,9.0
18,2026-05-01T16:54:44.705936,0.5,True,10,7.0
19,2026-05-01T16:54:52.187584,0.48,True,10,9.0
20,2026-05-01T16:55:01.485822,0.3,True,10,12.0
21,2026-05-01T16:55:13.837072,0.35,True,10,22.0
22,2026-05-01T16:55:36.104491,0.26,True,10,19.0
23,2026-05-01T16:55:56.262287,1.15,True,10,2.0
24,2026-05-01T16:55:58.524531,0.26,True,10,17.0
25,2026-05-01T16:56:15.786280,0.26,True,10,17.0
26,2026-05-01T16:56:33.070357,0.28,True,10,19.0
27,2026-05-01T16:56:52.398030,0.32,True,10,3.0
28,2026-05-01T16:56:55.748141,0.35,True,10,24.0
29,2026-05-01T16:57:20.599101,0.85,True,10,25.0
30,2026-05-01T16:57:45.866051,0.26,True,10,15.0
31,2026-05-01T16:58:01.249889,0.38,True,10,23.0
32,2026-05-01T16:58:24.520249,0.27,True,10,10.0
33,2026-05-01T16:58:35.117043,0.6,True,10,12.0
34,2026-05-01T16:58:47.413642,0.29,True,10,24.0
35,2026-05-01T16:59:11.701601,0.29,True,10,6.0
36,2026-05-01T16:59:17.995671,0.29,True,10,8.0
37,2026-05-01T16:59:26.416234,0.42,True,10,25.0
38,2026-05-01T16:59:51.684840,0.26,True,10,13.0
39,2026-05-01T17:00:05.226468,0.54,True,10,21.0
40,2026-05-01T17:00:26.560051,0.33,True,10,22.0
41,2026-05-01T17:00:48.941738,0.38,True,10,22.0
42,2026-05-01T17:01:11.385920,0.44,True,10,4.0
43,2026-05-01T17:01:15.655965,0.27,True,10,21.0
44,2026-05-01T17:01:37.653946,1.0,True,10,3.0
45,2026-05-01T17:01:40.923402,0.27,True,10,12.0
46,2026-05-01T17:01:53.242238,0.32,True,10,8.0
47,2026-05-01T17:02:01.519915,0.28,True,10,17.0
48,2026-05-01T17:02:18.911025,0.39,True,10,2.0
49,2026-05-01T17:02:21.181928,0.27,True,10,14.0
50,2026-05-01T17:02:35.545858,0.36,True,10,2.0
51,2026-05-01T17:02:38.025607,0.48,True,10,17.0
52,2026-05-01T17:02:56.230097,1.2,True,10,25.0
53,2026-05-01T17:03:21.503479,0.27,True,10,16.0
54,2026-05-01T17:03:37.781761,0.27,True,10,1.0
55,2026-05-01T17:03:39.055972,0.27,True,10,6.0
56,2026-05-01T17:03:45.342996,0.28,True,10,9.0
57,2026-05-01T17:03:54.642645,0.3,True,10,4.0
58,2026-05-01T17:03:59.003630,0.35,True,10,3.0
59,2026-05-01T17:04:02.339169,0.33,True,10,7.0
60,2026-05-01T17:04:09.622865,0.28,True,10,8.0
61,2026-05-01T17:04:17.894755,0.27,True,10,16.0
62,2026-05-01T17:04:34.429831,0.53,True,10,4.0
63,2026-05-01T17:04:38.758630,0.33,True,10,21.0
64,2026-05-01T17:05:00.081933,0.32,True,10,20.0
65,2026-05-01T17:05:20.584443,0.5,True,10,17.0
66,2026-05-01T17:05:38.581335,0.99,True,10,7.0
67,2026-05-01T17:05:45.856011,0.27,True,10,18.0
68,2026-05-01T17:06:04.316099,0.46,True,10,10.0
69,2026-05-01T17:06:14.677017,0.35,True,10,20.0
70,2026-05-01T17:06:34.941951,0.26,True,10,7.0
71,2026-05-01T17:06:42.282550,0.34,True,10,23.0
72,2026-05-01T17:07:06.136783,0.85,True,10,12.0
73,2026-05-01T17:07:18.420072,0.27,True,10,12.0
74,2026-05-01T17:07:30.795270,0.37,True,10,6.0
75,2026-05-01T17:07:37.202981,0.4,True,10,5.0
76,2026-05-01T17:07:42.869586,0.66,True,10,3.0
77,2026-05-01T17:07:46.214798,0.34,True,10,1.0
78,2026-05-01T17:07:47.747519,0.53,True,10,12.0
79,2026-05-01T17:08:00.057755,0.31,True,10,23.0
80,2026-05-01T17:08:23.953381,0.89,True,10,14.0
81,2026-05-01T17:08:38.314034,0.36,True,10,6.0
82,2026-05-01T17:08:44.602282,0.28,True,10,5.0
83,2026-05-01T17:08:49.903580,0.3,True,10,23.0
84,2026-05-01T17:09:13.178024,0.27,True,10,17.0
85,2026-05-01T17:09:31.055918,0.87,True,10,3.0
86,2026-05-01T17:09:34.464318,0.4,True,10,12.0
87,2026-05-01T17:09:47.360343,0.89,True,10,5.0
88,2026-05-01T17:09:52.756578,0.39,True,10,6.0
89,2026-05-01T17:09:59.055961,0.3,True,10,21.0
90,2026-05-01T17:10:20.573063,0.51,True,10,23.0
91,2026-05-01T17:10:43.837728,0.26,True,10,20.0
92,2026-05-01T17:11:04.416063,0.57,True,10,4.0
93,2026-05-01T17:11:08.751419,0.33,True,10,18.0
94,2026-05-01T17:11:27.030470,0.27,True,10,5.0
95,2026-05-01T17:11:32.330038,0.29,True,10,11.0
96,2026-05-01T17:11:43.619654,0.28,True,10,22.0
97,2026-05-01T17:12:05.913220,0.28,True,10,18.0
98,2026-05-01T17:12:24.207717,0.29,True,10,20.0
99,2026-05-01T17:12:44.476896,0.26,True,10,1.0
100,2026-05-01T17:12:45.764139,0.28,True,10,
